Estación:       LA PRIMAVERA,  JAL
Operada por:    SMN EMAS
Longitud:       103°38'38"  Longitud: 20°40'34"  Altitud: 1468

DD/MM/AAAA HH:MM      DIRS      DIRR      VELS      VELR      TEMP        HR        PB      PREC   RADSOL    TEMPCOMB     HUMCOMB     HUMSUBS    TEMPSUBS
25/01/2018 22:00          44          41        4.59       16.90        19.8          56       853.3         0.0       229.0        22.2          56           1        16.2
25/01/2018 23:00          38          36        4.56       15.10        18.3          64       853.4         0.0        50.5        19.0          56           1        16.3
26/01/2018 00:00          28          42        2.62        8.60        16.4          74       853.7         0.0        15.0        16.6          62           1        16.4
26/01/2018 01:00          18          24        4.35       11.90        14.6          82       854.1         0.0         0.0        14.2          69           1        16.6
26/01/2018 02:00          35          17        5.36       13.00        13.8          85       854.8         0.0         0.0        13.5          74           1        16.7
26/01/2018 03:00          86          47        3.49        8.60        12.9          91       855.3         0.0         0.0        12.1          78           1        16.7
26/01/2018 04:00          85          96        3.71        7.20        11.2          99       855.7         0.0         0.0        10.5          81           1        16.6
26/01/2018 05:00          78          79        4.18        7.90        11.1         100       856.1         0.0         0.0        10.7          85           1        16.5
26/01/2018 06:00          80          79        3.49        6.80        10.7         100       856.0         0.0         0.0        10.1          87           1        16.3
26/01/2018 07:00          75          75        4.79        9.70        11.1         100       855.8         0.0         0.0        10.6          89           1        16.2
26/01/2018 08:00          16         338        3.52       10.40        11.6         100       855.3         0.0         0.0        11.2          90           1        16.1
26/01/2018 09:00          71          64        4.88       11.90        10.8         100       854.8         0.0         0.0        10.4          91           1        16.0
26/01/2018 10:00          78          88        1.79        5.80        11.4         100       854.5         0.0         0.0        11.0          92           1        15.8
26/01/2018 11:00         142         143        2.85        8.30        11.0         100       854.3         0.0         0.0        10.1          92           1        15.7
26/01/2018 12:00         117         170        1.50        9.00        10.9         100       854.4         0.0         0.0         9.9          93           1        15.6
26/01/2018 13:00          45          81        3.57        9.70        10.2         100       854.8         0.0         2.2         9.3          94           1        15.5
26/01/2018 14:00          52          45        1.44        9.40        11.0         100       855.2         0.0        52.2        10.7          95           1        15.4
26/01/2018 15:00          14          30        4.11       15.10        14.4          86       855.8         0.0        77.8        13.6          94           1        15.3
26/01/2018 16:00          84          31        6.30       24.50        19.7          56       856.0         0.0       216.8        19.1          88           1        15.2
26/01/2018 17:00          14          18        5.09       15.80        22.6          44       855.7         0.0       641.8        28.1          65           1        15.2
26/01/2018 18:00         327          67        4.47       14.40        24.0          40       854.8         0.0       756.3        31.7          40           1        15.4
26/01/2018 19:00          33          13        1.24       13.70        25.3          36       853.6         0.0       734.8        29.0          30           1        15.5
26/01/2018 20:00         250         208        3.59       14.80        25.8          33       852.4         0.0       632.5        31.2          29           1        15.7
26/01/2018 21:00         204         147        1.11       15.10        26.4          28       851.4         0.0       618.3        34.1          23           1        16.0
26/01/2018 22:00         276         292        4.31       14.80        26.4          28       850.8         0.0       432.2        31.7          18           1        16.2
26/01/2018 23:00         296         283        2.34       10.80        23.1          36       850.8         0.0        76.3        24.0          24           1        16.6
27/01/2018 00:00         329         314        3.39       11.20        20.8          47       851.1         0.0        15.8        20.6          33           1        16.8
27/01/2018 01:00         121         167        3.62       11.90        17.9          56       851.6         0.0         0.0        16.8          41           1        17.1
27/01/2018 02:00         115         140        3.69       10.40        16.0          64       852.1         0.0         0.0        15.0          50           1        17.2
27/01/2018 03:00         156         163        6.11       14.00        14.8          69       852.6         0.0         0.0        13.6          56           1        17.2
27/01/2018 04:00         147         148        5.95       13.30        14.5          71       852.9         0.0         0.0        13.1          62           1        17.2
27/01/2018 05:00         141         145        4.81        9.70        13.7          74       853.0         0.0         0.0        12.2          66           1        17.0
27/01/2018 06:00         149         162        5.92       11.50        13.3          76       852.9         0.0         0.0        11.8          70           1        16.9
27/01/2018 07:00         132         155        3.76       10.80        13.0          78       852.8         0.0         0.0        11.4          72           1        16.8
27/01/2018 08:00         109         113        3.32       10.10        11.5          86       852.5         0.0         0.0        10.5          76           1        16.7
27/01/2018 09:00         111         127        3.84        9.00        11.1          88       852.0         0.0         0.0        10.0          78           1        16.4
27/01/2018 10:00         126         133        4.31       10.10        11.8          84       851.8         0.0         0.0        10.3          80           1        16.3
27/01/2018 11:00         107         112        2.59        5.40        11.2          89       851.6         0.0         0.0         9.6          82           1        16.1
27/01/2018 12:00          98         131        2.84        6.80        10.6          92       851.9         0.0         0.0         9.3          84           1        16.0
27/01/2018 13:00          96          58        3.40        6.50        10.1          96       852.3         0.0         1.5         8.9          86           1        15.8
27/01/2018 14:00          98          82        2.04        6.10        11.2          92       853.0         0.0        26.2        10.1          89           1        15.6
27/01/2018 15:00         205         215        2.33        9.70        14.7          74       853.7         0.0        58.8        13.5          87           1        15.5
27/01/2018 16:00          89         334        2.72       10.80        20.8          49       854.1         0.0       203.7        20.1          80           1        15.4
27/01/2018 17:00         268         244        2.30       11.90        23.9          39       853.8         0.0       660.8        30.5          52           1        15.4
27/01/2018 18:00         287         352        4.22       15.50        25.6          35       852.9         0.0       774.2        34.0          31           1        15.4
27/01/2018 19:00          56          40        4.32       16.60        27.4          29       851.7         0.0       803.7        31.7          24           1        15.6
27/01/2018 20:00         105         114        1.38        9.70        26.2          31       850.5         0.0       304.0        28.9          25           1        15.8
27/01/2018 21:00         104          32        1.27       18.00        26.9          27       849.4         0.0       551.8        33.9          21           1        16.2
27/01/2018 22:00          85          75        1.06       15.10        27.3          28       848.8         0.0       321.0        32.5          18           1        16.4
27/01/2018 23:00         238         230        2.15       14.00        23.1          38       849.1         0.0        31.8        23.9          25           1        16.7
28/01/2018 00:00         232         221        5.20       28.40        20.0          43       850.1         1.0         0.5        19.4          35           1        17.0
28/01/2018 01:00         229         259        5.50       25.60        13.8          86       852.1         3.8         0.0        12.6          88           1        17.2
28/01/2018 02:00         166         212        6.39       25.20        12.7          98       852.6         0.6         0.0        12.0          97           1        17.3
28/01/2018 03:00         104         134        4.92       21.60        12.1         100       853.5         0.2         0.0        11.9          98           1        17.3
28/01/2018 04:00          65          41        9.30       27.00        12.8          86       852.6         0.0         0.0        11.3          98           1        17.2
28/01/2018 05:00          74          78        7.99       23.40        13.2          79       852.9         0.0         0.0        11.0          98           1        17.0
28/01/2018 06:00         171         196        5.50       16.60        12.7          76       852.5         0.0         0.0        10.1          98           1        16.8
28/01/2018 07:00         101         165        1.47        9.70        10.8          88       852.2         0.0         0.0         8.8          98           1        16.7
28/01/2018 08:00         118         126        3.59        8.60         9.9          92       851.9         0.0         0.0         8.4          98           1        16.4
28/01/2018 09:00         102         130        4.20        9.00         9.7          88       851.7         0.0         0.0         7.9          98           0        16.3
28/01/2018 10:00          65          44        6.26       12.60         9.0          93       851.4         0.0         0.0         7.6          98           0        16.1
28/01/2018 11:00          73          83        5.14       12.20         8.7          93       851.3         0.0         0.0         7.4          98           0        15.9
28/01/2018 12:00          80          80        4.46       10.10         9.3          90       851.7         0.0         0.0         7.6          98           0        15.7
28/01/2018 13:00          65          58        4.32        9.40         9.4          89       852.3         0.0         1.5         7.6          98           0        15.5
28/01/2018 14:00         318          45        2.06        9.00        10.6          83       853.1         0.0        25.7         8.8          98           0        15.3
28/01/2018 15:00          20          19        7.18       16.90        14.5          70       854.1         0.0        60.0        12.0          98           0        15.1
28/01/2018 16:00          76          51        5.89       22.00        19.6          52       854.5         0.0       200.0        15.9          98           0        15.0
28/01/2018 17:00          92         116        6.73       24.50        22.2          43       854.2         0.0       665.8        21.3          98           0        14.9
28/01/2018 18:00         107         131        6.65       22.70        23.9          38       853.3         0.0       789.2        25.2         100           0        15.0
28/01/2018 19:00          59          51        7.96       25.20        25.6          34       852.3         0.0       770.7        25.6         100           0        15.1
28/01/2018 20:00          72          59        6.50       24.50        26.2          32       851.1         0.0       718.2        28.9          88           0        15.4
28/01/2018 21:00          50          80        4.11       18.70        25.0          35       850.1         0.0       248.5        27.6          58           0        15.6
28/01/2018 22:00          31          51        4.27       13.00        23.4          38       849.6         0.0       147.7        24.2          47           0        15.9
28/01/2018 23:00          48          55        7.39       27.00        22.5          39       849.4         0.0        56.3        22.2          42           0        16.1
29/01/2018 00:00         173         216        5.19       14.40        19.7          49       850.2         0.0         0.5        18.8          47           0        16.3
29/01/2018 01:00         166         179        3.33       16.90        18.1          53       850.9         0.0         0.0        17.2          53           0        16.5
29/01/2018 02:00         107         132        4.13       10.80        15.9          69       851.7         1.8         0.0        15.0          66           0        16.7
29/01/2018 03:00         146         133        4.05       10.10        13.8          84       852.6         0.0         0.3        12.9          89           1        16.7
29/01/2018 04:00          36          55        3.84       13.70        13.7          94       854.1         1.0         0.0        12.9          92           1        16.7
29/01/2018 05:00          46          75        5.06       14.80        12.7         100       855.1         0.8         0.0        12.5          97           0        16.6
29/01/2018 06:00          57          50       10.39       34.60        12.5         100       854.8         0.0         0.0        12.1          98           0        16.5
29/01/2018 07:00          50          62       10.74       27.70        12.4         100       854.9         0.0         0.0        11.7          98           0        16.3
29/01/2018 08:00          38          45       10.71       33.10        12.2          98       854.7         0.0         0.0        11.5          98           0        16.3
29/01/2018 09:00          63          68       11.05       27.70        11.6          98       854.1         0.0         0.0        10.6          98           0        16.2
29/01/2018 10:00          62          67       10.25       26.60        11.5          97       854.1         0.0         0.0        10.6          98           0        16.0
29/01/2018 11:00          53          31       10.13       27.00        11.7          93       854.2         0.0         0.0        10.8          98           0        15.9
29/01/2018 12:00          43          46       11.43       30.20        12.0          89       854.5         0.0         0.0        10.6          98           0        15.8
29/01/2018 13:00          33          28        7.72       26.60        11.3          92       855.1         0.0         2.3        10.0          98           0        15.7
29/01/2018 14:00          24          16        9.85       23.00        11.6          91       855.7         0.0        59.2        10.8          98           0        15.5
29/01/2018 15:00          18          16        8.08       21.20        13.7          82       856.3         0.0       153.3        13.1          98           0        15.4
29/01/2018 16:00          41          31        9.32       28.40        16.2          72       856.5         0.0       235.0        15.5          99           0        15.4
29/01/2018 17:00          41          60       11.19       31.30        17.8          64       856.2         0.0       331.3        16.9          99           0        15.4
29/01/2018 18:00          71          70       10.06       29.20        18.8          59       855.7         0.0       304.8        17.7          99           0        15.4
29/01/2018 19:00          72          72        9.80       28.10        19.7          54       854.8         0.0       307.7        19.5          99           0        15.5
29/01/2018 20:00          74          70        9.77       29.90        20.1          50       853.7         0.0       276.3        20.4          97           0        15.6
29/01/2018 21:00          70          65        9.24       35.60        20.1          50       853.2         0.0       173.8        20.3          87           0        15.7
29/01/2018 22:00          80          73        9.22       24.80        19.9          47       853.1         0.0       128.8        20.0          74           0        16.0
29/01/2018 23:00          94          59        7.11       21.20        18.8          49       853.3         0.0        58.3        18.6          63           0        16.2
30/01/2018 00:00          82          87        9.56       27.00        17.6          49       853.6         0.0        15.5        16.9          58           0        16.3
30/01/2018 01:00          73          75       11.92       33.50        16.8          49       854.4         0.0         0.0        15.9          57           0        16.4
30/01/2018 02:00          76          66        9.99       33.50        16.3          51       855.4         0.0         0.0        15.4          56           0        16.5
30/01/2018 03:00          69         104       11.23       38.90        15.7          52       856.3         0.0         0.0        14.8          57           0        16.5
30/01/2018 04:00          53          56        5.89       29.50        15.1          54       856.9         0.0         0.0        14.4          58           0        16.5
30/01/2018 05:00          51          59        8.13       31.00        14.2          57       857.0         0.0         0.0        13.4          60           0        16.3
30/01/2018 06:00          60          57       10.51       40.70        13.7          55       856.7         0.0         0.0        12.7          60           0        16.3
30/01/2018 07:00          40          53        7.69       38.90        12.8          57       856.0         0.0         0.0        11.8          61           0        16.2
30/01/2018 08:00           5          60        5.50       18.70        11.6          64       855.8         0.0         0.0        10.6          63           0        16.1
30/01/2018 09:00          13          16        7.63       17.30        10.5          71       855.4         0.0         0.0        10.0          67           0        16.0
30/01/2018 10:00          20          28        7.20       20.20         9.6          72       855.2         0.0         0.0         9.0          70           0        15.8
30/01/2018 11:00          22          65        7.14       19.40         9.1          72       855.0         0.0         0.0         8.4          72           0        15.7
30/01/2018 12:00          40          76        8.08       29.90         9.1          70       855.5         0.0         0.0         8.4          72           0        15.5
30/01/2018 13:00          34          51        9.45       28.40         8.9          70       855.9         0.0         1.5         8.2          73           0        15.4
30/01/2018 14:00          55          49       13.01       40.30         9.3          62       856.6         0.0        58.8         9.1          72           0        15.2
30/01/2018 15:00          53          72       16.12       43.60        10.7          52       856.9         0.0       102.2        10.8          65           0        15.0
30/01/2018 16:00          52          29       12.52       37.80        12.9          44       857.3         0.0       209.7        14.1          59           0        14.9
30/01/2018 17:00          54          46       12.39       42.50        15.1          37       856.8         0.0       431.8        18.8          50           0        14.8
30/01/2018 18:00          78          58       11.60       42.80        16.0          32       856.1         0.0       380.5        19.0          40           0        14.7
30/01/2018 19:00          75          49       11.75       32.40        15.7          31       855.5         0.0       311.8        18.1          36           0        14.9
30/01/2018 20:00          78          73        8.46       29.50        17.8          26       854.4         0.0       630.0        22.7          35           0        14.9
30/01/2018 21:00          68          83       10.47       29.50        18.7          24       853.5         0.0       397.8        22.7          25           1        15.0
30/01/2018 22:00          44          86        8.98       27.40        17.3          24       853.0         0.0       160.3        18.8          23           0        15.2
30/01/2018 23:00          71          61        5.03       24.80        16.2          24       852.8         0.0        50.7        16.4          24           0        15.4
31/01/2018 00:00         113         130        2.46        9.00        14.9          29       853.1         0.0        11.0        14.5          26           0        15.5
31/01/2018 01:00          68          32        3.74       13.30        13.5          37       853.4         0.0         0.0        12.8          31           0        15.5
31/01/2018 02:00         103         133        1.37        8.60        12.2          42       853.8         0.0         0.0        11.2          36           0        15.5
31/01/2018 03:00         106          93        2.86        6.50        11.5          46       854.2         0.0         0.0        10.5          40           0        15.5
31/01/2018 04:00          67          38        3.35        8.60        11.0          47       854.4         0.0         0.0        10.1          45           0        15.5
31/01/2018 05:00          62          54        4.83       15.80        11.9          39       854.7         0.0         0.0        10.9          47           0        15.4
31/01/2018 06:00          38          47        6.27       17.60        12.1          35       854.5         0.0         0.0        11.1          45           0        15.3
31/01/2018 07:00          47          80        7.70       18.40        11.5          36       854.2         0.0         0.0        10.7          44           0        15.2
31/01/2018 08:00          71          52        6.23       24.50        12.0          34       854.1         0.0         0.0        11.2          43           0        15.0
31/01/2018 09:00          54          58        6.07       21.20        11.6          38       853.7         0.0         0.0        10.9          42           0        15.0
31/01/2018 10:00          54          42        5.60       17.60        10.4          44       853.4         0.0         0.0         9.4          46           0        14.9
31/01/2018 11:00          44          44        3.43       12.20         9.8          42       853.4         0.0         0.0         9.1          48           0        14.7
31/01/2018 12:00          71         114        1.92        9.70         9.7          48       853.8         0.0         0.0         8.7          50           1        14.6
31/01/2018 13:00         107         158        2.25       10.10         9.4          54       854.7         0.0         0.2         8.5          56           1        14.5
31/01/2018 14:00          66          79        0.83        5.00         9.5          57       855.4         0.0        17.5         9.1          58           1        14.4
31/01/2018 15:00         170         166        2.35        7.20        10.1          67       856.1         0.0        77.5        10.2          63           1        14.3
31/01/2018 16:00          63          45        2.72        6.10        11.3          70       856.3         0.2       111.0        11.4          67           1        14.3
31/01/2018 17:00          26          21        5.25       13.70        12.6          59       855.7         0.0       187.7        13.0          72           1        14.1
31/01/2018 18:00          14          49        5.61       19.80        15.1          43       854.7         0.0       238.5        16.7          61           1        14.1
31/01/2018 19:00          26          38        5.59       14.40        16.2          39       853.7         0.0       268.8        18.4          50           1        14.1
31/01/2018 20:00         347         321        4.77       15.50        17.9          35       852.6         0.0       352.5        21.2          42           1        14.2
31/01/2018 21:00         299         327        2.35        9.40        17.9          36       851.9         0.0       192.8        19.9          36           1        14.4
31/01/2018 22:00         295         324        2.89       10.40        17.5          37       851.8         0.0       135.3        18.9          35           1        14.5
31/01/2018 23:00         331         317        3.26        9.70        16.6          39       852.0         0.0        82.2        17.4          36           1        14.7
01/02/2018 00:00         355         343        2.58        8.60        14.8          46       852.3         0.0        16.0        14.8          39           0        14.8
01/02/2018 01:00          45          72        3.44        7.20        13.2          48       852.6         0.0         0.0        12.7          44           0        14.9
01/02/2018 02:00         144          62        1.53        6.10        12.9          49       853.3         0.0         0.0        12.1          48           1        15.0
01/02/2018 03:00         145         159        3.01        6.50        13.3          55       854.1         0.0         0.0        12.5          52           1        15.0
01/02/2018 04:00         121         173        2.15        6.80        12.2          64       854.3         0.0         0.0        11.5          56           1        15.0
01/02/2018 05:00          83          71        3.75        8.30        11.4          65       854.3         0.0         0.0        10.2          60           0        15.0
01/02/2018 06:00         108          85        2.71        8.60        11.1          65       854.1         0.0         0.0        10.2          64           0        14.9
01/02/2018 07:00         211         288        0.91        6.10        11.3          64       854.1         0.0         0.0        10.5          66           0        14.9
01/02/2018 08:00          74          56        4.43       10.80        11.7          67       853.8         0.0         0.0        10.9          66           0        14.7
01/02/2018 09:00          29          65        1.75        8.60        11.5          66       853.2         0.0         0.0        10.7          68           1        14.7
01/02/2018 10:00          72          74        4.27        9.40        10.9          69       852.9         0.0         0.0        10.2          69           1        14.6
01/02/2018 11:00          70          65        4.23        9.00        10.1          71       853.1         0.0         0.0         8.9          70           1        14.5
01/02/2018 12:00         118         124        2.79        6.80         9.3          80       853.5         0.0         0.0         8.0          73           1        14.4
01/02/2018 13:00         120         150        3.46        7.90         8.5          84       854.0         0.0         1.3         7.4          76           1        14.3
01/02/2018 14:00          46          36        3.01       10.10         8.8          86       854.5         0.0        39.3         8.4          78           1        14.3
01/02/2018 15:00         341         317        1.89        7.60        13.6          60       855.4         0.0       101.3        13.2          78           1        14.1
01/02/2018 16:00         261         235        1.47        7.90        17.9          48       855.8         0.0       199.0        18.3          63           1        14.1
01/02/2018 17:00         277         229        1.76        8.30        18.0          46       855.7         0.0       300.5        20.4          56           1        14.0
01/02/2018 18:00         329         340        3.34       11.20        20.9          40       854.8         0.0       470.0        25.3          45           1        14.1
01/02/2018 19:00         309         325        5.01       15.80        23.3          36       854.0         0.0       588.0        27.5          35           1        14.1
01/02/2018 20:00         281         294        3.70       16.20        22.8          38       853.5         0.0       230.0        25.9          31           1        14.3
01/02/2018 21:00
