74560 ILX Lincoln Observations at 12Z 22 Dec 2017

-----------------------------------------------------------------------------
   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
    hPa     m      C      C      %    g/kg    deg   knot     K      K      K 
-----------------------------------------------------------------------------
 1000.0    112                                                               
  992.0    178    4.8    1.5     79   4.32    310      4  278.6  290.6  279.3
  977.0    302    3.2    0.3     81   4.02    310      9  278.2  289.4  278.9
  966.0    393    2.4    0.0     84   3.98    310     12  278.3  289.4  279.0
  961.0    435    3.0    2.4     96   4.76    310     14  279.3  292.6  280.1
  955.0    486    3.4    3.1     98   5.03    310     15  280.2  294.3  281.1
  940.6    610    4.5    3.1     90   5.11    310     20  282.6  297.0  283.4
  937.0    641    4.8    3.1     89   5.13    310     20  283.2  297.7  284.0
  925.0    746    4.8    3.9     94   5.50    310     20  284.2  299.8  285.2
  906.2    914    4.4    4.3     99   5.78    295     18  285.5  301.9  286.5
  906.0    916    4.4    4.3     99   5.78    295     18  285.5  301.9  286.5
  897.0    997    5.4    5.4    100   6.31    287     18  287.3  305.3  288.4
  873.0   1219    4.7    4.1     96   5.93    265     18  288.8  305.9  289.9
  850.0   1437    4.0    2.9     93   5.58    250     17  290.3  306.5  291.3
  840.9   1524    3.7    2.4     91   5.44    230     15  290.9  306.7  291.8
  813.0   1798    2.6    0.8     88   5.01    226     20  292.6  307.3  293.4
  809.9   1829    2.9   -1.1     75   4.38    225     20  293.2  306.2  293.9
  792.0   2011    4.6  -12.4     28   1.87    249     25  296.9  302.8  297.2
  780.1   2134    4.6  -13.8     25   1.70    265     29  298.2  303.6  298.5
  775.0   2188    4.6  -14.4     24   1.63    267     30  298.7  304.0  299.0
  751.2   2438    2.5  -15.2     26   1.57    275     35  299.2  304.2  299.5
  723.3   2743    0.1  -16.2     28   1.50    270     45  299.7  304.6  300.0
  700.0   3006   -2.1  -17.1     31   1.44    265     46  300.1  304.8  300.4
  697.0   3040   -2.3  -17.3     31   1.42    265     46  300.3  304.9  300.5
  669.0   3365   -3.9  -18.9     30   1.29    265     50  302.0  306.3  302.3
  655.0   3532   -5.3  -17.3     38   1.51    265     52  302.3  307.2  302.6
  645.0   3652   -5.5  -22.5     25   0.98    265     54  303.4  306.7  303.6
  644.5   3658   -5.5  -22.5     25   0.98    265     54  303.4  306.7  303.6
  616.0   4012   -7.9  -23.9     26   0.91    262     60  304.6  307.7  304.8
  596.0   4267   -9.2  -22.2     34   1.08    260     64  306.0  309.6  306.2
  572.9   4572  -10.9  -20.3     46   1.34    255     72  307.5  312.0  307.8
  564.0   4693  -11.5  -19.5     52   1.45    253     71  308.2  313.1  308.4
  550.7   4877  -12.0  -33.4     15   0.42    250     70  309.6  311.2  309.7
  549.0   4900  -12.1  -35.1     13   0.35    250     70  309.8  311.1  309.9
  531.0   5154  -13.7  -35.7     14   0.35    245     75  310.9  312.2  310.9
  529.1   5182  -13.8  -38.2     11   0.27    245     76  311.1  312.1  311.1
  527.0   5212  -13.9  -40.9      8   0.20    245     76  311.3  312.1  311.4
  518.0   5343  -14.5  -28.5     29   0.71    247     78  312.1  314.6  312.3
  510.0   5461  -15.3  -28.3     32   0.73    248     79  312.6  315.1  312.7
  500.0   5610  -16.5  -29.5     32   0.67    250     81  312.9  315.2  313.0
  493.0   5715  -17.3  -30.3     31   0.63    251     81  313.1  315.4  313.3
  468.2   6096  -20.8  -29.6     45   0.71    255     81  313.4  315.9  313.5
  453.0   6340  -23.1  -29.1     58   0.77    255     83  313.5  316.3  313.7
  447.0   6437  -22.7  -25.8     76   1.05    255     83  315.2  318.9  315.4
  441.0   6536  -23.1  -25.3     82   1.12    255     84  315.9  319.9  316.2
  400.0   7240  -28.3  -30.3     83   0.77    255     89  318.1  320.9  318.3
  395.9   7315  -29.0  -31.0     83   0.73    255     89  318.2  320.9  318.4
  395.0   7330  -29.1  -31.1     83   0.73    255     89  318.2  320.9  318.4
  379.2   7620  -30.6  -32.7     81   0.65    245     98  320.0  322.4  320.1
  352.0   8150  -33.3  -35.7     79   0.52    248    104  323.2  325.2  323.3
  340.0   8394  -34.5  -38.1     70   0.42    250    107  324.8  326.4  324.9
  307.0   9102  -40.1  -44.4     63   0.24    255    116  326.6  327.5  326.6
  305.1   9144  -40.5  -45.0     62   0.23    255    116  326.6  327.5  326.7
  300.0   9260  -41.5  -46.5     58   0.20    255    116  326.8  327.6  326.8
  289.0   9511  -43.9  -50.9     46   0.12    255    119  326.8  327.4  326.9
  271.0   9936  -47.7  -53.7     50   0.09    255    124  327.4  327.8  327.4
  250.0  10460  -52.1  -58.1     48   0.06    255    131  328.5  328.7  328.5
  231.0  10966  -56.1  -62.1     47   0.04    255    138  330.0  330.1  330.0
  230.8  10973  -56.1  -62.1     47   0.04    255    138  330.0  330.1  330.0
  229.0  11022  -56.5  -62.5     47   0.04    255    136  330.1  330.3  330.1
  219.0  11305  -57.5  -62.5     53   0.04    255    123  332.8  333.0  332.8
  206.0  11692  -55.9  -70.9     14   0.01    258    117  341.2  341.2  341.2
  200.0  11880  -56.3  -75.3      7   0.01    260    114  343.4  343.5  343.4
  187.0  12306  -57.5  -77.5      6   0.01    259    108  348.2  348.2  348.2
  181.0  12513  -57.5  -78.5      5   0.00    258    105  351.4  351.5  351.4
  179.0  12583  -56.3  -78.3      5   0.00    258    104  354.5  354.5  354.5
  171.0  12874  -56.3  -79.3      4   0.00    257     99  359.2  359.2  359.2
  167.0  13025  -54.9  -77.9      4   0.01    257     97  363.9  364.0  363.9
  160.0  13299  -56.3  -80.3      3   0.00    256     93  366.1  366.1  366.1
  157.0  13419  -55.5  -80.5      3   0.00    256     91  369.4  369.4  369.4
  150.0  13710  -56.1  -83.1      2   0.00    255     87  373.2  373.2  373.2
  149.9  13716  -56.1  -83.1      2   0.00    255     86  373.4  373.4  373.4
  147.0  13838  -55.7  -83.7      2   0.00    257     78  376.1  376.1  376.1
  142.8  14021  -56.5  -83.7      2   0.00    260     65  377.7  377.7  377.7
  142.0  14058  -56.7  -83.7      2   0.00    260     65  378.1  378.1  378.1
  139.0  14194  -55.1  -82.1      2   0.00    259     65  383.2  383.2  383.2
  134.0  14427  -56.1  -82.1      2   0.00    257     64  385.4  385.5  385.4
  129.8  14630  -57.7  -83.7      2   0.00    255     64  386.2  386.2  386.2
  126.0  14815  -59.1  -85.1      2   0.00    260     63  386.9  386.9  386.9
  121.0  15068  -59.7  -85.7      2   0.00    266     61  390.3  390.3  390.3
  117.7  15240  -59.4  -85.4      2   0.00    270     60  393.8  393.8  393.8
  116.0  15332  -59.3  -85.3      2   0.00    275     57  395.7  395.8  395.7
  112.1  15545  -60.5  -86.5      2   0.00    285     49  397.3  397.3  397.3
  111.0  15607  -60.9  -86.9      2   0.00    281     49  397.8  397.8  397.8
  109.0  15720  -60.9  -86.9      2   0.00    275     49  399.8  399.8  399.8
  102.0  16129  -64.1  -88.1      2   0.00    250     48  401.3  401.4  401.3
  100.0  16250  -63.9  -87.9      2   0.00    255     47  404.0  404.0  404.0
   97.8  16386  -64.3  -87.3      3   0.00    258     46  405.8  405.8  405.8
   90.9  16837  -61.1  -85.1      3   0.00    269     43  420.7  420.7  420.7
   87.6  17069  -61.6  -85.6      3   0.00    275     41  424.2  424.2  424.2
   85.8  17195  -61.9  -85.9      3   0.00    275     37  426.1  426.1  426.1
   83.4  17374  -61.1  -86.0      2   0.00    275     32  431.2  431.2  431.2
   80.2  17614  -60.1  -86.1      2   0.00    251     24  438.1  438.1  438.1
   79.4  17678  -60.3  -86.3      2   0.00    245     22  439.0  439.1  439.0
   75.6  17983  -61.1  -87.1      2   0.00    260     23  443.5  443.5  443.5
   74.8  18047  -61.3  -87.3      2   0.00    254     23  444.4  444.4  444.4
   72.7  18225  -60.1  -88.1      1   0.00    236     25  450.6  450.6  450.6
   72.0  18288  -60.4  -88.4      1   0.00    230     25  451.2  451.2  451.2
   70.0  18460  -61.3  -89.3      1   0.00    230     27  452.9  452.9  452.9
   69.6  18496  -61.5  -89.5      1   0.00    234     29  453.2  453.2  453.2
   68.5  18593  -59.9  -89.0      1   0.00    245     33  458.6  458.6  458.6
   67.7  18668  -58.7  -88.7      1   0.00    252     31  462.9  462.9  462.9
   65.3  18898  -59.1  -89.9      1   0.00    275     26  466.8  466.8  466.8
   64.4  18982  -59.3  -90.3      1   0.00    275     24  468.2  468.2  468.2
   62.2  19202  -58.5  -89.8      1   0.00    275     18  474.8  474.8  474.8
