74560 ILX Lincoln Observations at 12Z 22 Jun 2017

-----------------------------------------------------------------------------
   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
    hPa     m      C      C      %    g/kg    deg   knot     K      K      K 
-----------------------------------------------------------------------------
 1000.0     99                                                               
  991.0    178   21.2   20.4     95  15.48    160      5  295.1  339.6  297.8
  985.0    231   21.6   18.9     85  14.15    167      8  296.0  336.9  298.5
  950.0    547   23.0   18.0     73  13.86    207     26  300.5  341.4  303.0
  943.2    610   22.8   17.0     70  13.07    215     29  300.9  339.6  303.3
  925.0    780   22.2   14.2     60  11.12    215     27  302.0  335.1  304.0
  918.0    846   21.4   15.4     69  12.13    215     26  301.8  337.9  304.0
  910.9    914   21.2   14.0     64  11.13    215     24  302.3  335.5  304.3
  906.0    960   21.0   13.0     60  10.49    213     24  302.6  333.9  304.5
  901.0   1008   21.0   10.0     49   8.62    212     23  303.0  329.0  304.6
  894.0   1076   20.8    8.8     46   8.01    210     23  303.5  327.8  305.0
  889.0   1124   21.0    3.0     30   5.37    208     23  304.2  320.8  305.2
  879.3   1219   21.3    0.3     25   4.48    205     22  305.5  319.5  306.3
  876.0   1252   21.4   -0.6     23   4.20    204     22  305.9  319.1  306.7
  864.0   1371   20.6    1.6     28   5.00    200     24  306.3  321.9  307.2
  850.0   1512   20.0    0.0     26   4.52    195     26  307.1  321.3  307.9
  832.0   1696   19.4   -2.6     22   3.81    192     25  308.3  320.5  309.1
  819.2   1829   18.6    0.2     29   4.76    190     24  308.8  323.9  309.7
  811.0   1915   18.0    2.0     34   5.48    190     24  309.1  326.4  310.1
  790.4   2134   17.2   -1.1     29   4.50    190     25  310.5  324.9  311.4
  775.0   2302   16.6   -3.4     25   3.86    187     25  311.6  324.1  312.4
  762.6   2438   15.4   -0.9     33   4.71    185     25  311.7  326.8  312.6
  755.0   2523   14.6    0.6     38   5.32    184     24  311.8  328.8  312.8
  748.0   2602   13.8    3.8     51   6.76    182     24  311.8  333.1  313.0
  735.5   2743   12.9    2.6     50   6.32    180     23  312.2  332.2  313.4
  701.0   3145   10.2   -0.8     46   5.18    209     16  313.6  330.2  314.6
  700.0   3157   10.0   -1.0     46   5.11    210     16  313.5  329.9  314.5
  689.0   3289    9.2    2.2     62   6.55    215     15  314.1  334.9  315.3
  658.8   3658    6.6    0.3     64   5.97    230     12  315.2  334.4  316.3
  645.0   3833    5.4   -0.6     65   5.71    239     10  315.7  334.1  316.8
  634.8   3962    4.2   -0.7     71   5.78    245      9  315.8  334.4  316.9
  611.5   4267    1.3   -0.8     86   5.94    240     11  315.9  335.0  317.0
  609.0   4300    1.0   -0.8     88   5.96    239     11  315.9  335.1  317.0
  602.0   4393    0.8   -2.2     80   5.44    237     12  316.7  334.3  317.7
  580.0   4691   -1.7   -3.8     86   5.01    230     13  317.2  333.5  318.1
  566.6   4877   -2.9   -5.0     85   4.69    225     14  317.9  333.3  318.8
  553.0   5070   -4.1   -6.2     85   4.37    223     16  318.7  333.1  319.5
  539.0   5272   -4.5   -9.3     69   3.53    222     17  320.5  332.4  321.2
  527.0   5449   -5.9  -10.4     71   3.31    220     19  320.9  332.1  321.6
  524.5   5486   -6.0  -11.2     66   3.11    220     19  321.2  331.8  321.8
  522.0   5524   -6.1  -12.1     63   2.91    222     19  321.6  331.5  322.1
  513.0   5660   -7.1  -11.8     69   3.04    227     20  321.9  332.3  322.5
  500.0   5860   -8.3  -14.3     62   2.54    235     22  322.9  331.6  323.4
  491.0   6001   -9.5  -15.5     62   2.34    235     23  323.1  331.2  323.5
  485.0   6096  -10.4  -15.2     68   2.43    235     23  323.1  331.5  323.6
  480.0   6176  -11.1  -15.0     73   2.50    240     24  323.2  331.8  323.7
  471.0   6321  -12.1  -17.0     67   2.16    250     24  323.7  331.2  324.1
  467.0   6387  -12.1  -18.1     61   1.98    254     25  324.5  331.4  324.9
  466.1   6401  -12.1  -19.7     53   1.74    255     25  324.7  330.8  325.0
  462.0   6469  -12.1  -27.1     28   0.90    254     25  325.5  328.8  325.7
  459.0   6519  -11.9  -25.9     30   1.02    253     25  326.4  330.1  326.6
  445.0   6756  -13.7  -25.7     36   1.07    249     25  327.0  330.9  327.2
  432.0   6981  -14.9  -36.9     13   0.38    246     26  328.2  329.7  328.3
  425.0   7104  -15.7  -31.7     24   0.64    243     26  328.8  331.2  328.9
  416.0   7266  -16.7  -30.7     29   0.72    241     26  329.5  332.2  329.6
  413.3   7315  -16.9  -34.5     20   0.50    240     26  329.9  331.8  330.0
  413.0   7320  -16.9  -34.9     19   0.48    240     26  329.9  331.8  330.0
  409.0   7393  -17.5  -31.5     28   0.68    242     27  330.1  332.6  330.2
  406.0   7448  -17.7  -31.7     28   0.67    243     28  330.5  333.0  330.6
  400.0   7560  -17.9  -35.9     19   0.45    245     29  331.6  333.4  331.7
  396.8   7620  -18.0  -38.7     14   0.34    250     29  332.3  333.6  332.4
  393.0   7691  -18.1  -42.1     10   0.24    250     29  333.1  334.0  333.1
  369.0   8157  -22.1  -36.1     27   0.48    250     31  333.8  335.7  333.9
  362.0   8297  -23.1  -49.1      7   0.12    250     32  334.3  334.8  334.3
  354.0   8459  -24.5  -53.5      5   0.07    250     33  334.5  334.9  334.6
  350.4   8534  -25.1  -49.7      8   0.12    250     33  334.7  335.2  334.8
  349.0   8563  -25.3  -48.3     10   0.14    250     33  334.8  335.4  334.9
  345.0   8646  -26.1  -39.1     28   0.38    250     32  334.8  336.4  334.9
  343.0   8688  -26.3  -37.3     35   0.45    250     32  335.1  336.9  335.2
  331.0   8943  -27.9  -48.9     12   0.14    250     31  336.4  336.9  336.4
  324.0   9096  -28.5  -48.5     13   0.15    250     30  337.6  338.2  337.6
  321.8   9144  -28.9  -48.5     13   0.15    250     30  337.6  338.3  337.7
  300.0   9640  -33.5  -48.5     21   0.16    260     30  338.0  338.7  338.1
  294.0   9782  -34.7  -49.7     20   0.14    261     30  338.3  338.9  338.3
  284.0  10024  -36.1  -65.1      3   0.02    263     29  339.6  339.8  339.7
  270.0  10374  -38.3  -73.3      1   0.01    266     28  341.4  341.4  341.4
  250.0  10900  -43.1  -73.1      2   0.01    270     27  341.9  341.9  341.9
  247.3  10973  -43.7  -72.1      3   0.01    270     26  341.9  342.0  342.0
  245.0  11036  -44.3  -71.3      3   0.01    269     28  342.0  342.1  342.0
  242.0  11118  -45.1  -63.1     11   0.03    268     30  342.0  342.2  342.1
  238.0  11230  -45.5  -61.5     15   0.04    266     33  343.1  343.3  343.1
  236.3  11278  -45.8  -58.4     23   0.06    265     34  343.3  343.6  343.3
  234.0  11343  -46.3  -54.3     40   0.10    267     34  343.5  344.0  343.6
  230.0  11457  -47.3  -55.3     39   0.09    270     35  343.7  344.1  343.7
  223.0  11661  -48.5  -71.5      5   0.01    275     35  344.9  345.0  344.9
  216.0  11870  -49.9  -72.9      5   0.01    281     36  345.9  345.9  345.9
  212.0  11993  -50.7  -64.7     17   0.03    285     37  346.5  346.6  346.5
  207.0  12148  -51.9  -66.9     15   0.02    289     37  347.0  347.1  347.0
  200.0  12370  -53.7  -61.7     37   0.05    295     38  347.6  347.8  347.6
  196.0  12497  -54.7  -62.5     37   0.04    300     41  348.0  348.2  348.0
  172.0  13321  -61.1  -68.1     39   0.02    280     48  350.6  350.8  350.6
  164.0  13616  -62.3  -70.3     33   0.02    273     50  353.4  353.5  353.4
  161.4  13716  -61.1  -71.7     23   0.01    270     51  357.1  357.1  357.1
  160.0  13769  -60.5  -72.5     19   0.01    271     50  359.0  359.0  359.0
  155.0  13966  -59.9  -85.9      2   0.00    273     47  363.3  363.3  363.3
  150.0  14170  -61.3  -92.3      1   0.00    275     43  364.3  364.3  364.3
  149.0  14211  -61.5  -92.5      1   0.00    275     43  364.6  364.6  364.6
  146.0  14338  -61.1  -92.1      1   0.00    274     45  367.4  367.4  367.4
  132.4  14935  -64.5  -92.3      1   0.00    270     52  371.8  371.8  371.8
  126.0  15240  -66.2  -92.5      1   0.00    290     48  374.0  374.0  374.0
  125.0  15290  -66.5  -92.5      2   0.00    290     48  374.3  374.3  374.3
  114.0  15848  -66.1  -92.1      2   0.00    294     37  385.1  385.1  385.1
  107.0  16230  -68.3  -92.3      2   0.00    297     30  387.9  387.9  387.9
  106.0  16286  -68.1  -92.1      2   0.00    297     29  389.4  389.4  389.4
  104.0  16402  -65.7  -88.7      3   0.00    298     27  396.1  396.1  396.1
