00Z 01 Jan 2017, 0.00, 5.18
12Z 01 Jan 2017, 0.00, 4.44
00Z 02 Jan 2017, 0.00, 5.95
12Z 02 Jan 2017, 0.00, 19.42
00Z 03 Jan 2017, 0.00, 24.64
12Z 03 Jan 2017, 0.00, 22.08
00Z 04 Jan 2017, 0.00, 10.52
12Z 04 Jan 2017, 0.00, 2.55
00Z 05 Jan 2017, 0.00, 4.02
12Z 05 Jan 2017, 0.00, 5.10
00Z 06 Jan 2017, 0.19, 2.77
12Z 06 Jan 2017, 0.00, 1.54
00Z 07 Jan 2017, 0.00, 1.58
12Z 07 Jan 2017, 0.00, 3.29
00Z 08 Jan 2017, 0.00, 2.16
12Z 08 Jan 2017, 0.00, 1.24
00Z 09 Jan 2017, 0.00, 4.49
12Z 09 Jan 2017, 0.00, 6.13
00Z 10 Jan 2017, 0.00, 11.77
12Z 10 Jan 2017, 0.00, 22.70
00Z 11 Jan 2017, 0.00, 9.32
12Z 11 Jan 2017, 0.00, 5.90
00Z 12 Jan 2017, 10.57, 24.62
12Z 12 Jan 2017, 0.00, 22.36
00Z 13 Jan 2017, 0.00, 8.32
12Z 13 Jan 2017, 0.00, 4.93
00Z 14 Jan 2017, 0.00, 11.65
12Z 14 Jan 2017, 0.00, 21.19
00Z 15 Jan 2017, 0.00, 13.45
12Z 15 Jan 2017, 0.00, 13.29
00Z 16 Jan 2017, 0.00, 21.23
12Z 16 Jan 2017, 0.00, 23.81
00Z 17 Jan 2017, 0.00, 26.03
12Z 17 Jan 2017, 0.00, 14.78
00Z 18 Jan 2017, 0.00, 11.20
12Z 18 Jan 2017, 0.00, 6.33
00Z 19 Jan 2017, 0.00, 8.36
12Z 19 Jan 2017, 0.00, 18.29
00Z 20 Jan 2017, 0.00, 26.45
12Z 20 Jan 2017, 0.00, 17.38
00Z 21 Jan 2017, 0.00, 15.44
12Z 21 Jan 2017, 0.15, 12.97
00Z 22 Jan 2017, 0.00, 13.91
12Z 22 Jan 2017, 0.00, 16.22
00Z 23 Jan 2017, 0.00, 17.13
12Z 23 Jan 2017, 0.00, 14.91
00Z 24 Jan 2017, 0.00, 9.38
12Z 24 Jan 2017, 0.00, 9.05
00Z 25 Jan 2017, 0.00, 13.51
12Z 25 Jan 2017, 0.00, 10.88
00Z 26 Jan 2017, 0.00, 7.57
12Z 26 Jan 2017, 0.00, 8.87
00Z 27 Jan 2017, 10.03, 6.06
12Z 27 Jan 2017, 0.00, 6.36
00Z 28 Jan 2017, 0.00, 6.29
12Z 28 Jan 2017, 0.00, 5.69
00Z 29 Jan 2017, 1.57, 6.06
12Z 29 Jan 2017, 0.00, 6.20
00Z 30 Jan 2017, 11.77, 4.35
12Z 30 Jan 2017, 0.00, 3.76
00Z 31 Jan 2017, 0.00, 8.06
12Z 31 Jan 2017, 0.00, 8.05
00Z 01 Feb 2017, 0.00, 9.49
12Z 01 Feb 2017, 0.00, 11.23
00Z 02 Feb 2017, 0.00, 8.23
12Z 02 Feb 2017, 0.00, 5.77
00Z 03 Feb 2017, 0.00, 5.00
12Z 03 Feb 2017, 0.00, 5.56
00Z 04 Feb 2017, 0.00, 1.66
12Z 04 Feb 2017, 0.00, 2.23
00Z 05 Feb 2017, 0.00, 9.10
12Z 05 Feb 2017, 0.00, 9.77
00Z 06 Feb 2017, 0.00, 10.42
12Z 06 Feb 2017, 0.00, 12.99
00Z 07 Feb 2017, 0.00, 20.42
12Z 07 Feb 2017, 345.99, 26.47
00Z 08 Feb 2017, 0.00, 12.17
12Z 08 Feb 2017, 0.00, 12.37
00Z 09 Feb 2017, 0.00, 7.96
12Z 09 Feb 2017, 0.00, 2.62
00Z 10 Feb 2017, 0.00, 4.22
12Z 10 Feb 2017, 0.00, 13.50
00Z 11 Feb 2017, 0.00, 16.43
12Z 11 Feb 2017, 0.00, 17.66
00Z 12 Feb 2017, 0.00, 27.95
12Z 12 Feb 2017, 0.00, 17.84
00Z 13 Feb 2017, 0.00, 3.79
12Z 13 Feb 2017, 0.00, 2.65
00Z 14 Feb 2017, 0.00, 7.98
12Z 14 Feb 2017, 0.00, 5.87
00Z 15 Feb 2017, 0.00, 5.34
12Z 15 Feb 2017, 0.00, 3.55
00Z 16 Feb 2017, 0.00, 5.67
12Z 16 Feb 2017, 0.00, 8.21
00Z 17 Feb 2017, 0.00, 11.76
12Z 17 Feb 2017, 0.00, 11.13
00Z 18 Feb 2017, 0.00, 3.81
12Z 18 Feb 2017, 0.00, 13.69
00Z 19 Feb 2017, 0.00, 11.20
12Z 19 Feb 2017, 0.00, 9.41
00Z 20 Feb 2017, 0.00, 12.13
12Z 20 Feb 2017, 0.00, 21.06
00Z 21 Feb 2017, 0.00, 20.48
12Z 21 Feb 2017, 0.00, 31.89
00Z 22 Feb 2017, 11.96, 21.13
12Z 22 Feb 2017, 0.00, 15.93
00Z 23 Feb 2017, 0.00, 12.72
12Z 23 Feb 2017, 0.00, 12.47
00Z 24 Feb 2017, 0.00, 23.96
12Z 24 Feb 2017, 94.27, 21.12
00Z 25 Feb 2017, 0.00, 8.51
12Z 25 Feb 2017, 0.00, 5.79
00Z 26 Feb 2017, 0.00, 2.67
12Z 26 Feb 2017, 0.00, 4.22
00Z 27 Feb 2017, 0.00, 7.36
12Z 27 Feb 2017, 0.00, 8.60
00Z 28 Feb 2017, 0.00, 10.57
